Dir,File_name,MAE
artificialNoAnomaly,art_daily_no_noise.csv,10.602317897313444
artificialNoAnomaly,art_daily_perfect_square_wave.csv,3.2065956014893655
artificialNoAnomaly,art_daily_small_noise.csv,5.901315343488026
artificialNoAnomaly,art_flatline.csv,0.0
artificialNoAnomaly,art_noisy.csv,3.105838735205312
artificialWithAnomaly,art_daily_flatmiddle.csv,8.156757745168221
artificialWithAnomaly,art_daily_jumpsdown.csv,6.054994621981424
artificialWithAnomaly,art_daily_jumpsup.csv,7.485656915754662
artificialWithAnomaly,art_daily_nojump.csv,6.749781200426508
artificialWithAnomaly,art_increase_spike_density.csv,0.4366374914220823
artificialWithAnomaly,art_load_balancer_spikes.csv,0.1863886258454369
realAWSCloudwatch,ec2_cpu_utilization_24ae8d.csv,0.056532032042047826
realAWSCloudwatch,ec2_cpu_utilization_53ea38.csv,0.15574225559318644
realAWSCloudwatch,ec2_cpu_utilization_5f5533.csv,2.391691913403279
realAWSCloudwatch,ec2_cpu_utilization_77c1ca.csv,10.007251164476552
realAWSCloudwatch,ec2_cpu_utilization_825cc2.csv,2.242917390835361
realAWSCloudwatch,ec2_cpu_utilization_ac20cd.csv,2.609110261877745
realAWSCloudwatch,ec2_cpu_utilization_c6585a.csv,0.028541879076189478
realAWSCloudwatch,ec2_cpu_utilization_fe7f93.csv,4.16915146859987
realAWSCloudwatch,ec2_disk_write_bytes_1ef3de.csv,16090987.365583675
realAWSCloudwatch,ec2_disk_write_bytes_c0d644.csv,19700579.71002596
realAWSCloudwatch,ec2_network_in_257a54.csv,474539.8006289308
realAWSCloudwatch,ec2_network_in_5abac7.csv,125215.60772013638
realAWSCloudwatch,elb_request_count_8c0756.csv,39.82005772758369
realAWSCloudwatch,grok_asg_anomaly.csv,1.4362882911299106
realAWSCloudwatch,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,1304511.4609704642
realAWSCloudwatch,rds_cpu_utilization_cc0c53.csv,0.47641060595861673
realAWSCloudwatch,rds_cpu_utilization_e47b3b.csv,5.439504077352016
realAdExchange,exchange-2_cpc_results.csv,0.0673745629590787
realAdExchange,exchange-2_cpm_results.csv,0.14891935576984613
realAdExchange,exchange-3_cpc_results.csv,0.060475595614277906
realAdExchange,exchange-3_cpm_results.csv,0.40134924631349417
realAdExchange,exchange-4_cpc_results.csv,0.038957142397224746
realAdExchange,exchange-4_cpm_results.csv,0.25063385783142894
realKnownCause,ambient_temperature_system_failure.csv,3.6381172948679374
realKnownCause,cpu_utilization_asg_misconfiguration.csv,10.838413760804732
realKnownCause,ec2_request_latency_system_failure.csv,1.618066879752297
realKnownCause,machine_temperature_system_failure.csv,7.418374076024415
realKnownCause,nyc_taxi.csv,5533.060208980568
realKnownCause,rogue_agent_key_hold.csv,0.01217887516728952
realKnownCause,rogue_agent_key_updown.csv,0.9240021935262129
realTraffic,TravelTime_387.csv,96.14715824976726
realTraffic,TravelTime_451.csv,68.2978005089046
realTraffic,occupancy_6005.csv,1.4230490081700609
realTraffic,occupancy_t4013.csv,2.2631417015225312
realTraffic,speed_6005.csv,30.454804845316758
realTraffic,speed_7578.csv,3.1371791254732715
realTraffic,speed_t4013.csv,0.9485837875585955
realTweets,Twitter_volume_AAPL.csv,56.87524961736727
realTweets,Twitter_volume_AMZN.csv,21.741805350049248
realTweets,Twitter_volume_CRM.csv,2.7429500696071036
realTweets,Twitter_volume_CVS.csv,0.41333929200097447
realTweets,Twitter_volume_FB.csv,9.560323597927669
realTweets,Twitter_volume_GOOG.csv,10.263168647061546
realTweets,Twitter_volume_IBM.csv,3.75832798936821
realTweets,Twitter_volume_KO.csv,9.404648431627948
realTweets,Twitter_volume_PFE.csv,0.954839600716965
realTweets,Twitter_volume_UPS.csv,5.00547355842349
