dir,file_name,exponential_smoothing,xgboost,random_forest,lstm,gru,vae,gan
realKnownCause,ambient_temperature_system_failure.csv,0.0681078636784016,0.0861128926224005,0.0970054698267145,0.011247594,0.01048432,1.93521419357423,0.01048432
artificialWithAnomaly,art_daily_flatmiddle.csv,76202.1217972419,239.927798209988,0.51844767277519,39093.86848,37380.29115,8791553.75449332,37380.29115
artificialWithAnomaly,art_daily_jumpsdown.csv,0.682943045065733,0.114854213570831,0.116389693446291,0.065088092,0.06191721,17.9238001730322,0.06191721
artificialWithAnomaly,art_daily_jumpsup.csv,1.03850602251565,0.0812756614237175,0.0820500117710249,0.090935083,0.082032155,12.02338608049,0.082032155
artificialNoAnomaly,art_daily_no_noise.csv,0.892340825295416,0.000361138311564536,0.000109367591243534,0.016753839,0.018289714,4.81269261085612,0.018289714
artificialWithAnomaly,art_daily_nojump.csv,0.789112784676523,0.2502350332588,0.251125621201134,0.060220116,0.064615322,65.2126835386745,0.064615322
artificialNoAnomaly,art_daily_perfect_square_wave.csv,0.860770295376287,0.0003167974823244,8.21649843465447E-07,0.013663,0.017514996,3.87295225881707,0.017514996
artificialNoAnomaly,art_daily_small_noise.csv,0.779030537681855,0.0546568864631288,0.050466169079034,0.063319165,0.059900043,8.19793962195057,0.059900043
artificialWithAnomaly,art_increase_spike_density.csv,2551070330201720,2167827198240490,2020697646416210,0.020100503,48000000000000,47061067507.0958,48000000000000
artificialWithAnomaly,art_load_balancer_spikes.csv,746607448773902,213892327396809,208056831466880,0.156407035,10500000000000,28190866923.2282,10500000000000
artificialNoAnomaly,art_noisy.csv,0.226595107435901,0.224364912657628,0.22618560206931,0.223064969,0.21890693,23.0663103065405,0.21890693
realKnownCause,cpu_utilization_asg_misconfiguration.csv,0.201763551358931,0.291788708366593,0.281431947645714,0.159611128,0.089650811,14.6603008966446,0.089650811
realAWSCloudwatch,ec2_cpu_utilization_24ae8d.csv,0.3122625604951,0.285907486060511,0.323880576249703,0.249885837,0.249047367,26.6772251980895,0.249047367
realAWSCloudwatch,ec2_cpu_utilization_53ea38.csv,0.0245829533567513,0.039357985963764,0.0404440190688056,0.025854569,0.024841027,2.39004935613808,0.024841027
realAWSCloudwatch,ec2_cpu_utilization_5f5533.csv,0.053899813860088,0.054847670347891,0.0579979396141271,0.036239393,0.058172764,6.78034180614696,0.058172764
realAWSCloudwatch,ec2_cpu_utilization_77c1ca.csv,69.8226557746167,156.701680714311,137.666780707938,9.370263547,7.471849939,884.243508360513,7.471849939
realAWSCloudwatch,ec2_cpu_utilization_825cc2.csv,0.0314941657966382,0.0771759303225705,0.19763885820355,0.020440428,0.032802037,7.73213682482721,0.032802037
realAWSCloudwatch,ec2_cpu_utilization_ac20cd.csv,0.0450576221423189,0.0648375770826962,0.14815924527364,0.045984667,0.046130216,4.56620142798317,0.046130216
realAWSCloudwatch,ec2_cpu_utilization_c6585a.csv,0.230984562229037,0.325315001684178,0.31768170705971,0.120921267,0.127059282,30.3577168510302,0.127059282
realAWSCloudwatch,ec2_cpu_utilization_fe7f93.csv,0.356763606953903,1.76668726106443,1.75325928711998,0.195720209,0.195311485,170.197703756299,0.195311485
realAWSCloudwatch,ec2_disk_write_bytes_1ef3de.csv,1.42717993961122E+022,4.47981772726345E+022,5.48130925005887E+022,0.104222341,1.63E+021,1.40401623665903E+018,1.63E+021
realAWSCloudwatch,ec2_disk_write_bytes_c0d644.csv,9.13481008977115E+022,9.87089879805265E+022,1.05240812956294E+023,0.200375438,3.4E+021,1.555019771133E+018,3.4E+021
realAWSCloudwatch,ec2_network_in_257a54.csv,0.0584796824043103,2.65599881497985,2.10472652063089,0.085486872,0.149078951,135.91923446244,0.149078951
realAWSCloudwatch,ec2_network_in_5abac7.csv,600.968035946115,2447.92846065028,2473.16599494936,0.381079332,32.19832565,47569.35358111,32.19832565
realKnownCause,ec2_request_latency_system_failure.csv,0.0359594146969352,0.0360916563898497,0.0386261893414695,0.035259252,0.03652677,3.76516510270364,0.03652677
realAWSCloudwatch,elb_request_count_8c0756.csv,1.99764878132544,2.4452887746808,2.4915888751237,2.07994574,2.194484369,252.279430178223,2.194484369
realAdExchange,exchange-2_cpc_results.csv,0.145130498093169,0.161012844709353,0.200096170712329,0.123344921,0.114369484,17.2385803411112,0.114369484
realAdExchange,exchange-2_cpm_results.csv,0.8920938251729,0.839718781916683,0.934698175934922,0.795172666,0.978417833,134.043690577269,0.978417833
realAdExchange,exchange-3_cpc_results.csv,0.207747144151098,0.259299327708733,0.225980281270355,0.182940068,0.174547796,24.5169958893465,0.174547796
realAdExchange,exchange-3_cpm_results.csv,0.179404612620094,0.274153103907482,0.232650656377651,0.142593861,0.12532727,31.0020248658176,0.12532727
realAdExchange,exchange-4_cpc_results.csv,0.411442440023646,0.316446983045714,0.391399583427949,0.236153197,0.245757359,32.1174330825768,0.245757359
realAdExchange,exchange-4_cpm_results.csv,0.360442692170114,0.340688687734788,0.340963267236978,0.237810174,0.23220902,39.2962229476576,0.23220902
realAWSCloudwatch,grok_asg_anomaly.csv,0.0432645528901131,0.0412593510089616,0.0426760207965685,0.038602295,0.040510769,4.23752663414335,0.040510769
realAWSCloudwatch,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.358586839779147,0.429314239297967,0.34117148789313,0.126652556,0.102316934,32.9917606175427,0.102316934
realKnownCause,machine_temperature_system_failure.csv,0.199369000297044,0.196373916988919,0.21625868455292,0.013043069,0.011055845,5.15201025595167,0.011055845
realKnownCause,nyc_taxi.csv,1.77024431512051,0.835566957921357,0.783238595826784,0.453043417,0.345970579,150.519362731991,0.345970579
realTraffic,occupancy_6005.csv,417855327334944,465540714169451,419602531922063,318000000000000,59000000000000,34071158311.4634,59000000000000
realTraffic,occupancy_t4013.csv,32230499122333.6,33199340345247.7,28199423296568.5,15000000000000,6100000000000,5130944622.62177,6100000000000
realAWSCloudwatch,rds_cpu_utilization_cc0c53.csv,0.0344781792370256,0.0469619006727651,0.0471441679940868,0.03625705,0.035949328,4.41702593724379,0.035949328
realAWSCloudwatch,rds_cpu_utilization_e47b3b.csv,0.244959153831322,0.2455957054724,0.25927665465027,0.14794603,0.091209838,20.0672818983947,0.091209838
realKnownCause,rogue_agent_key_hold.csv,14756954918100.9,24222319226743.2,28349065384327.2,31300000000000,6090000000000,2213205322.39075,6090000000000
realKnownCause,rogue_agent_key_updown.csv,1694767628754080,1338374416034290,1578615278684870,0.128741093,314000000000000,239422298133.799,314000000000000
realTraffic,speed_6005.csv,0.0563589749997017,0.164158861282534,0.187434065947899,0.092962817,0.01382177,16.8679973031922,0.01382177
realTraffic,speed_7578.csv,0.225741306303647,0.279953618289571,0.38639820585525,0.439487648,0.08815002,25.6356169461385,0.08815002
realTraffic,speed_t4013.csv,0.0298661596228757,0.0279268955781556,0.0395024742437821,0.065728268,0.01966786,2.13270349158814,0.01966786
realTraffic,TravelTime_387.csv,0.869909681214909,2.12845291910416,2.7615455950664,0.429398625,0.014929346,31.2643497214375,0.014929346
realTraffic,TravelTime_451.csv,0.399735928068325,0.893583473670955,0.860144686244207,0.301055599,0.029797573,13.3747270108723,0.029797573
realTweets,Twitter_volume_AAPL.csv,1.6625727143219,1.21984422854949,0.908530265934463,0.276452473,0.283690083,65.1294261409065,0.283690083
realTweets,Twitter_volume_AMZN.csv,0.582942438273852,0.436792971125559,0.392798968795688,0.221755745,0.214440591,29.8508915789694,0.214440591
realTweets,Twitter_volume_CRM.csv,6609994015422709,3776479260458430,3950034236486820,1050000000000000,1630000000000000,395247650654.704,1630000000000000
realTweets,Twitter_volume_CVS.csv,937617637445218,1113033733973655,2111104877640270,130078833,88100000000000,206743115505.225,88100000000000
realTweets,Twitter_volume_FB.csv,56034061916769.1,40510890308907.7,41890065402783.3,31900000000000,29200000000000,10470976404.5188,29200000000000
realTweets,Twitter_volume_GOOG.csv,20764688004963.1,10812392089185.4,8244860368532.61,7080000000000,5770000000000,2174496394.00321,5770000000000
realTweets,Twitter_volume_IBM.csv,1668765311415790,1209123701602090,1688057242685420,816000000000000,920000000000000,262546770559.271,920000000000000
realTweets,Twitter_volume_KO.csv,639500239664918,314278914144974,386734013785945,208000000000000,214000000000000,74527774343.161,214000000000000
realTweets,Twitter_volume_PFE.csv,2436437886106313,2053825005019150,1973124901902140,1020000000000000,583000000000000,386356090640.484,583000000000000
realTweets,Twitter_volume_UPS.csv,5387361104862054,7640742879626508,8483470360893593,1550000000000000,990000000000000,1240657869920.09,990000000000000
