dir,file_name,exponential_smoothing,xgboost,random_forest
realAdExchange,exchange-2_cpc_results.csv,53432320,996171776,60678144
realAdExchange,exchange-2_cpm_results.csv,-2801664,23719936,-13242368
realAdExchange,exchange-3_cpc_results.csv,-122003456,4005888,-9416704
realAdExchange,exchange-3_cpm_results.csv,-42340352,-3989504,-26738688
realAdExchange,exchange-4_cpc_results.csv,24035328,1163264,-917504
realAdExchange,exchange-4_cpm_results.csv,7688192,-4923392,638976
realAWSCloudwatch,ec2_cpu_utilization_24ae8d.csv,-1810432,-3555328,-25264128
realAWSCloudwatch,ec2_cpu_utilization_53ea38.csv,1073152,10375168,-7901184
realAWSCloudwatch,ec2_cpu_utilization_5f5533.csv,-44433408,37666816,-39526400
realAWSCloudwatch,ec2_cpu_utilization_77c1ca.csv,2039808,44265472,-15093760
realAWSCloudwatch,ec2_cpu_utilization_825cc2.csv,8941568,-49991680,-19161088
realAWSCloudwatch,ec2_cpu_utilization_ac20cd.csv,10448896,-8970240,-39989248
realAWSCloudwatch,ec2_cpu_utilization_c6585a.csv,180224,-35209216,-79249408
realAWSCloudwatch,ec2_cpu_utilization_fe7f93.csv,18317312,21467136,-40263680
realAWSCloudwatch,ec2_disk_write_bytes_1ef3de.csv,8474624,6225920,-29024256
realAWSCloudwatch,ec2_disk_write_bytes_c0d644.csv,-1970176,638976,131072
realAWSCloudwatch,ec2_network_in_257a54.csv,-5226496,-159744,-40656896
realAWSCloudwatch,ec2_network_in_5abac7.csv,13918208,-4055040,-26202112
realAWSCloudwatch,elb_request_count_8c0756.csv,-18874368,15028224,-31846400
realAWSCloudwatch,grok_asg_anomaly.csv,-557056,22003712,-83509248
realAWSCloudwatch,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,22908928,-13357056,-49750016
realAWSCloudwatch,rds_cpu_utilization_cc0c53.csv,-4517888,9302016,-83070976
realAWSCloudwatch,rds_cpu_utilization_e47b3b.csv,21438464,-30081024,-18214912
realKnownCause,ambient_temperature_system_failure.csv,13819904,33222656,-75288576
realKnownCause,cpu_utilization_asg_misconfiguration.csv,-10211328,41197568,-18747392
realKnownCause,ec2_request_latency_system_failure.csv,18624512,-5697536,-30294016
realKnownCause,machine_temperature_system_failure.csv,7290880,-4804608,-5623808
realKnownCause,nyc_taxi.csv,-43466752,94195712,27082752
realKnownCause,rogue_agent_key_hold.csv,49549312,-21729280,-27537408
realKnownCause,rogue_agent_key_updown.csv,-107294720,-40960000,44257280
realTweets,Twitter_volume_AAPL.csv,-55562240,-1236992,-32616448
realTweets,Twitter_volume_AMZN.csv,-97927168,-17317888,-21417984
realTweets,Twitter_volume_CRM.csv,-50638848,-33972224,-29184000
realTweets,Twitter_volume_CVS.csv,-60108800,-131067904,73420800
realTweets,Twitter_volume_FB.csv,23191552,26787840,-11419648
realTweets,Twitter_volume_GOOG.csv,-39309312,5734400,-57647104
realTweets,Twitter_volume_IBM.csv,4653056,8597504,-76476416
realTweets,Twitter_volume_KO.csv,-45481984,-49942528,-23707648
realTweets,Twitter_volume_PFE.csv,4820992,42721280,32866304
realTweets,Twitter_volume_UPS.csv,79650816,-12984320,-120676352
artificialWithAnomaly,art_daily_flatmiddle.csv,-1675264,-56446976,60887040
artificialWithAnomaly,art_daily_jumpsdown.csv,15233024,-14356480,-70021120
artificialWithAnomaly,art_daily_jumpsup.csv,-48631808,-84414464,-21385216
artificialWithAnomaly,art_daily_nojump.csv,-58241024,6909952,-27385856
artificialWithAnomaly,art_increase_spike_density.csv,-61915136,-81469440,-17956864
artificialWithAnomaly,art_load_balancer_spikes.csv,-118607872,23326720,-100278272
artificialNoAnomaly,art_daily_no_noise.csv,26152960,-102477824,-148283392
artificialNoAnomaly,art_daily_perfect_square_wave.csv,22953984,-76095488,-62279680
artificialNoAnomaly,art_daily_small_noise.csv,-105066496,45543424,-201932800
artificialNoAnomaly,art_flatline.csv,-10006528,-82997248,-70868992
artificialNoAnomaly,art_noisy.csv,7155712,-75350016,-135020544
realTraffic,TravelTime_387.csv,-108212224,40882176,8679424
realTraffic,TravelTime_451.csv,-119746560,56057856,-101564416
realTraffic,occupancy_6005.csv,-76787712,-129982464,-17530880
realTraffic,occupancy_t4013.csv,-57118720,-92532736,-75079680
realTraffic,speed_6005.csv,-68448256,-131563520,62717952
realTraffic,speed_7578.csv,-141348864,-46460928,16633856
realTraffic,speed_t4013.csv,-16384,-208035840,-2641920
